iso2c,ccTLD_registration_date
AF,16/10/1997
AX,21/06/2006
AL,21/04/1992
DZ,03/01/1994
AS,12/06/1997
AD,09/01/1996
AO,15/11/1995
AI,16/02/1995
AQ,26/02/1992
AG,03/09/1991
AR,23/09/1987
AM,26/08/1994
AW,20/02/1996
AU,05/03/1986
AT,20/01/1988
AZ,25/08/1993
BS,03/09/1991
BH,01/02/1994
BD,20/05/1999
BB,03/09/1991
BY,10/05/1994
BE,05/08/1988
BZ,03/09/1991
BJ,18/01/1996
BM,31/03/1993
BT,16/07/1997
BO,26/02/1991
BQ,20/12/2010
BA,14/08/1996
BW,19/03/1993
BV,21/08/1997
BR,18/04/1989
IO,16/09/1997
BN,03/06/1994
BG,03/01/1995
BF,29/03/1993
BI,21/10/1996
KH,20/02/1996
CM,29/04/1995
CA,14/05/1987
CV,21/10/1996
KY,03/05/1995
CF,24/04/1996
TD,03/11/1997
CL,27/01/1995
CN,28/11/1990
CX,24/04/1997
CC,13/10/1997
CO,24/12/1991
KM,08/06/1998
CG,14/01/1997
CD,20/08/1997
CK,08/08/1995
CR,10/09/1990
CI,14/02/1995
HR,27/02/1993
CU,03/06/1992
CW,20/12/2010
CY,26/07/1994
CZ,13/01/1993
DK,14/07/1987
DJ,22/05/1996
DM,03/09/1991
DO,25/08/1991
EC,01/02/1991
EG,30/11/1990
SV,04/11/1994
GQ,10/07/1997
ER,24/09/1996
EE,03/06/1992
ET,15/10/1995
FK,26/03/1997
FO,14/05/1993
FJ,03/06/1992
FI,17/12/1986
FR,02/09/1986
GF,25/07/1996
PF,19/03/1996
TF,26/08/1997
GA,12/12/1994
GM,28/03/1997
GE,02/12/1992
DE,05/11/1986
GH,19/01/1995
GI,05/12/1995
GR,19/02/1989
GL,08/04/1994
GD,03/06/1992
GP,21/10/1996
GU,15/04/1994
GT,14/08/1992
GG,07/08/1996
GN,09/08/1994
GW,04/02/1997
GY,13/09/1994
HT,06/03/1997
HM,24/07/1997
VA,11/09/1995
HN,16/04/1993
HK,03/01/1990
HU,07/11/1990
IS,18/11/1987
IN,08/05/1989
ID,27/02/1993
IR,06/04/1994
IQ,09/05/1997
IE,27/01/1988
IM,11/09/1996
IL,24/10/1985
IT,23/12/1987
JM,24/09/1991
JP,05/08/1986
JE,08/08/1996
JO,23/11/1994
KZ,19/09/1994
KE,29/04/1993
KI,19/04/1995
KP,24/09/2007
KR,29/09/1986
KW,26/10/1992
KG,12/07/1995
LA,14/05/1996
LV,29/04/1993
LB,25/08/1993
LS,13/01/1993
LR,09/04/1997
LY,23/04/1997
LI,26/02/1993
LT,03/06/1992
LU,27/01/1995
MO,17/09/1992
MK,23/09/1993
MG,25/07/1995
MW,03/01/1997
MY,08/06/1987
MV,25/09/1996
ML,29/09/1993
MT,02/12/1992
MH,16/08/1996
MQ,28/03/1997
MR,24/04/1996
MU,06/10/1995
YT,17/11/1997
MX,01/02/1989
FM,19/04/1995
MD,24/03/1994
MC,20/01/1995
MN,02/03/1995
ME,24/09/2007
MS,06/03/1997
MA,26/11/1993
MZ,04/09/1992
MM,04/02/1997
NA,08/05/1991
NR,30/03/1998
NP,25/01/1995
NL,25/04/1986
NC,13/10/1993
NZ,19/01/1987
NI,13/10/1989
NE,24/04/1996
NG,15/03/1995
NU,20/06/1997
NF,18/03/1996
MP,22/10/1996
NO,17/03/1987
OM,11/04/1996
PK,03/06/1992
PW,12/06/1997
PS,22/03/2000
PA,25/05/1994
PG,26/09/1991
PY,09/09/1991
PE,25/11/1991
PH,14/09/1990
PN,10/07/1997
PL,30/07/1990
PT,30/06/1988
PR,27/08/1989
QA,12/06/1996
RE,07/04/1997
RO,26/02/1993
RU,07/04/1994
RW,21/10/1996
BL,11/10/2007
SH,23/09/1997
KN,03/09/1991
LC,03/09/1991
MF,11/10/2007
PM,20/08/1997
VC,03/09/1991
WS,14/07/1995
SM,16/08/1995
ST,07/11/1997
SA,17/05/1994
SN,19/03/1993
RS,24/09/2007
SC,09/05/1997
SL,09/05/1997
SG,19/10/1988
SX,20/12/2010
SK,29/03/1993
SI,01/04/1992
SB,19/04/1994
SO,28/08/1997
ZA,07/11/1990
GS,31/07/1997
SS,31/08/2011
ES,14/04/1988
LK,15/06/1990
SD,06/03/1997
SR,03/09/1991
SJ,21/08/1997
SZ,19/07/1993
SE,04/09/1986
CH,20/05/1987
SY,20/02/1996
TW,31/07/1989
TJ,11/12/1997
TZ,14/07/1995
TH,07/09/1988
TL,23/03/2005
TG,05/09/1996
TK,07/11/1997
TO,18/12/1995
TT,03/09/1991
TN,17/05/1991
TR,17/09/1990
TM,30/05/1997
TC,27/01/1997
TV,18/03/1996
UG,08/03/1995
UA,01/12/1992
AE,01/12/1992
GB,24/07/1985
US,15/02/1985
UM,21/04/2008
UY,10/09/1990
UZ,29/04/1995
VU,10/04/1995
VE,07/03/1991
VN,14/04/1994
VG,20/02/1997
VI,31/08/1995
WF,14/11/1997
