LSOA,Total of possible sessions,Total sessions attended,Total sessions missed,Attendance
E01010568,1122,1051,71,0.94
E01010569,752,713,39,0.95
E01010570,1874,1824,50,0.97
E01010571,756,744,12,0.98
E01010572,376,370,6,0.98
E01010573,1500,1478,22,0.99
E01010574,756,748,8,0.99
E01010575,3032,2936,96,0.97
E01010576,2630,2522,108,0.96
E01010577,752,739,13,0.98
E01010579,1128,1120,8,0.99
E01010580,376,372,4,0.99
E01010581,752,744,8,0.99
E01010582,374,322,52,0.86
E01010583,1122,1040,82,0.93
E01010596,1128,1114,14,0.99
E01010599,375,373,2,1.00
E01010601,2618,2323,295,0.89
E01010602,375,350,25,0.93
E01010603,1126,1075,51,0.96
E01010606,378,373,5,0.99
E01010607,744,695,49,0.93
E01010609,375,365,10,0.97
E01010610,27359,25839,1520,0.94
E01010611,4875,4563,312,0.94
E01010612,374,341,33,0.91
E01010613,752,728,24,0.97
E01010614,374,371,3,0.99
E01010615,751,731,20,0.97
E01010616,26,24,2,0.92
E01010618,10078,9573,505,0.95
E01010619,8226,7889,337,0.96
E01010620,1868,1765,103,0.95
E01010621,372,369,3,0.99
E01010622,748,711,37,0.95
E01010623,3363,3239,124,0.96
E01010624,1116,1088,28,0.98
E01010625,4502,4297,205,0.95
E01010626,1874,1794,80,0.96
E01010627,31015,29707,1308,0.96
E01010649,2626,2514,112,0.96
E01010650,1882,1788,94,0.95
E01010651,1125,1062,63,0.94
E01010653,1871,1788,83,0.96
E01010654,3514,3324,190,0.95
E01010655,754,723,31,0.96
E01010656,1499,1454,45,0.97
E01010657,1501,1369,132,0.91
E01010662,744,714,30,0.96
E01010663,368,354,14,0.96
E01010665,1492,1411,81,0.95
E01010673,740,683,57,0.92
E01010674,681,627,54,0.92
E01010680,2250,2093,157,0.93
E01010681,1118,1070,48,0.96
E01010682,1173,1106,67,0.94
E01010683,9005,8575,430,0.95
E01010685,7482,7234,248,0.97
E01010686,751,693,58,0.92
E01010687,751,704,47,0.94
E01010688,1633,1553,80,0.95
E01010689,8208,7849,359,0.96
E01010690,1735,1664,71,0.96
E01010692,374,360,14,0.96
E01010695,376,352,24,0.94
E01010696,372,329,43,0.88
E01010697,378,366,12,0.97
E01010737,738,728,10,0.99
E01010739,374,287,87,0.77
E01010742,372,324,48,0.87
E01010749,748,694,54,0.93
E01010750,339,297,42,0.88
E01010751,374,301,73,0.81
E01010759,372,289,83,0.78
E01010764,1414,1386,28,0.98
E01010767,1500,1428,72,0.95
E01010768,1130,1049,81,0.93
E01010769,372,357,15,0.96
E01010771,1122,1072,50,0.96
E01010772,4138,3969,169,0.96
E01010773,7882,7520,362,0.95
E01010774,2621,2468,153,0.94
E01010779,372,337,35,0.91
E01010781,376,362,14,0.96
E01010782,1121,1094,27,0.98
E01010783,375,354,21,0.94
E01010786,378,341,37,0.90
E01010790,376,368,8,0.98
