LSOA,Total of possible sessions,Total sessions attended,Total sessions missed,Attendance
E01010568,10933,10361,572,0.947681332
E01010569,2453,2394,59,0.975947819
E01010570,2473,2341,132,0.946623534
E01010571,6910,6555,355,0.948625181
E01010572,6480,6198,282,0.956481481
E01010573,7221,6880,341,0.952776624
E01010574,7054,6811,243,0.96555146
E01010575,8477,7988,489,0.942314498
E01010576,12709,11960,749,0.941065387
E01010577,9893,9541,352,0.964419286
E01010578,368,348,20,0.945652174
E01010579,966,870,96,0.900621118
E01010580,1116,1089,27,0.975806452
E01010581,1404,1253,151,0.892450142
E01010583,613,556,57,0.907014682
E01010584,368,346,22,0.940217391
E01010596,742,734,8,0.989218329
E01010597,1488,1393,95,0.936155914
E01010598,2976,2831,145,0.951276882
E01010599,1128,1023,105,0.906914894
E01010600,2230,2059,171,0.923318386
E01010601,3738,3448,290,0.922418406
E01010602,974,897,77,0.920944559
E01010603,3724,3558,166,0.955424275
E01010604,4772,4611,161,0.966261526
E01010605,3574,3282,292,0.918298825
E01010606,1780,1738,42,0.976404494
E01010607,3262,3142,120,0.963212753
E01010608,3607,3119,488,0.864707513
E01010609,737,696,41,0.944369064
E01010610,12784,11818,966,0.924436796
E01010611,4226,3972,254,0.939895883
E01010612,708,694,14,0.980225989
E01010613,744,719,25,0.966397849
E01010614,371,346,25,0.932614555
E01010615,364,348,16,0.956043956
E01010617,797,738,59,0.925972396
E01010618,20782,19647,1135,0.94538543
E01010619,17937,17220,717,0.96002676
E01010620,7513,7027,486,0.935312126
E01010621,3350,3198,152,0.954626866
E01010622,3641,3501,140,0.961549025
E01010623,12465,11994,471,0.9622142
E01010624,3218,3010,208,0.93536358
E01010625,13173,12600,573,0.956501936
E01010626,11157,10624,533,0.952227301
E01010627,24053,23166,887,0.963123103
E01010630,370,367,3,0.991891892
E01010631,372,357,15,0.959677419
E01010636,376,373,3,0.992021277
E01010649,8332,7683,649,0.922107537
E01010650,11123,10108,1015,0.90874764
E01010651,1857,1756,101,0.945611201
E01010652,5458,5223,235,0.956943936
E01010653,10791,10097,694,0.935687147
E01010654,9576,8908,668,0.930242272
E01010655,6565,5939,626,0.904645849
E01010656,2969,2817,152,0.948804311
E01010657,5438,5040,398,0.926811328
